Position ID,Action,Amount,Units,Open Date,Close Date,Leverage,Spread,Profit,Open Rate,Close Rate,Take profit rate,Stop lose rate,Rollover Fees and Dividends,Copied From,Type,ISIN,Notes
1518337309,Buy Cameco Corp, 3.71 ,0.155295,07/03/2022 19:38:28,11/03/2022 14:30:05,1, 0.00 , 0.53 , 23.89 , 27.28 , 0.00 , 0.00 , 0.00 ,GS_Capital,Stocks,CA13321L1085,
1500594689,Buy Cameco Corp, 3.62 ,0.174879,18/02/2022 15:22:47,11/03/2022 14:30:05,1, 0.00 , 1.15 , 20.70 , 27.28 , 0.00 , 0.00 , 0.00 ,GS_Capital,Stocks,CA13321L1085,
1518337297,Buy Cardano, 2.66 ,3.289636,07/03/2022 19:38:28,11/03/2022 07:34:48,1, 0.05 ,(0.04), 0.81 , 0.80 , 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1327633549,Buy Bitcoin, 2.90 ,0.000069,29/09/2021 15:38:19,11/03/2022 07:34:48,1, 0.05 ,(0.22)," 41,965.85 "," 38,787.62 ", 0.00 , 0.01 , 0.00 ,GS_Capital,Crypto,,
1518337293,Buy Bitcoin, 2.66 ,0.000071,07/03/2022 19:38:28,11/03/2022 07:34:48,1, 0.06 , 0.09 ," 37,568.13 "," 38,787.64 ", 0.00 , 0.01 , 0.00 ,GS_Capital,Crypto,,
1518337296,Buy Cardano, 2.96 ,3.660648,07/03/2022 19:38:28,11/03/2022 07:34:47,1, 0.06 ,(0.04), 0.81 , 0.80 , 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1518337295,Buy Ethereum, 2.66 ,0.001066,07/03/2022 19:38:28,11/03/2022 07:34:47,1, 0.06 , 0.09 ," 2,495.10 "," 2,582.85 ", 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1518337292,Buy Bitcoin, 2.96 ,0.000079,07/03/2022 19:38:28,11/03/2022 07:34:47,1, 0.06 , 0.10 ," 37,568.13 "," 38,787.62 ", 0.00 , 0.01 , 0.00 ,GS_Capital,Crypto,,
1327636233,Buy Cardano, 2.60 ,1.239276,29/09/2021 15:39:14,11/03/2022 07:34:47,1, 0.02 ,(1.61), 2.10 , 0.80 , 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
1518337294,Buy Ethereum, 2.96 ,0.001186,07/03/2022 19:38:28,11/03/2022 07:34:47,1, 0.06 , 0.10 ," 2,495.10 "," 2,582.28 ", 0.00 , 0.00 , 0.00 ,GS_Capital,Crypto,,
